Src,Name,Type,Date,Desc
Kaspersky,Trojan.AndroidOS.FakeFort,Threat,03/01/2019,NA
Kaspersky,Trojan.Multi.BroSubsc,Threat,02/02/2019,NA
Kaspersky,Trojan-Banker.Win32.Emotet,Threat,12/12/2018,NA
Kaspersky,Trojan-PSW.Win32.Azorult,Threat,12/12/2018,NA
Kaspersky,Exploit.RTF.Generic,Threat,12/04/2018,NA
Kaspersky,Backdoor.MSIL.Androm,Threat,11/04/2018,NA
Kaspersky,Exploit.Win32.CVE-2015-1701,Threat,11/04/2018,NA
Kaspersky,Trojan-Downloader.JS.Inor,Threat,11/04/2018,NA
Kaspersky,Trojan-Downloader.VBS.SLoad,Threat,11/04/2018,NA
Kaspersky,Trojan-Dropper.VBS.Agent,Threat,11/04/2018,NA
Kaspersky,Trojan.Multi.GenAutorunLnkFile,Threat,11/04/2018,NA
Kaspersky,Trojan.Multi.Miner,Threat,11/04/2018,NA
Kaspersky,Exploit.MSOffice.CVE-2017-8570,Threat,10/04/2018,NA
Kaspersky,Exploit.MSOffice.Pederr,Threat,10/04/2018,NA
Kaspersky,Trojan-Ransom.Win32.Wanna,Threat,10/04/2018,NA
Kaspersky,Trojan.Multi.GenBadur,Threat,10/04/2018,NA
Kaspersky,Trojan.Win32.SEPEH,Threat,10/04/2018,NA
Kaspersky,Backdoor.Linux.Mirai,Threat,09/06/2018,NA
Kaspersky,Exploit.MSOffice.CVE-2018-0802,Threat,09/06/2018,NA
Kaspersky,Trojan-Banker.AndroidOS.Asacub,Threat,09/06/2018,NA
Kaspersky,Trojan-Downloader.Acad.Qfas,Threat,09/06/2018,NA
Kaspersky,Trojan.Multi.Accesstr,Threat,09/06/2018,NA
Kaspersky,Trojan.Multi.Ifeodeb,Threat,09/06/2018,NA
Kaspersky,Trojan.BAT.Miner,Threat,09/05/2018,NA
Kaspersky,Trojan.Win32.Crypt,Threat,08/04/2018,NA
Kaspersky,Trojan.Win32.Adject,Threat,08/04/2018,NA
Kaspersky,Rootkit.Win32.EquationDrug,Threat,08/04/2018,NA
Kaspersky,Hoax.Script.Generic,Threat,08/04/2018,NA
Kaspersky,HackTool.Win64.HackKMS,Threat,08/04/2018,NA
Kaspersky,Backdoor.Linux.Gafgyt,Threat,08/04/2018,NA
Kaspersky,DoS vulnerability in Wireshark,Vulnerability,07/17/2019,DoS vulnerability in Wireshark
Kaspersky,Multiple vulnerabilities in LibreOffice,Vulnerability,07/16/2019,Multiple vulnerabilities in LibreOffice
Kaspersky,Multiple vulnerabilities in Oracle Java,Vulnerability,07/16/2019,Multiple vulnerabilities in Oracle Java
Kaspersky,Multiple vulnerabilities in Oracle VirtualBox,Vulnerability,07/16/2019,Multiple vulnerabilities in Oracle VirtualBox
Kaspersky,SB vulnerability in Microsoft Developer Tools,Vulnerability,07/16/2019,SB vulnerability in Microsoft Developer Tools
Kaspersky,Multiple vulnerabilities in Google Chrome,Vulnerability,07/15/2019,Multiple vulnerabilities in Google Chrome
Kaspersky,Multiple vulnerabilities in Microsoft Office,Vulnerability,07/09/2019,Multiple vulnerabilities in Microsoft Office
Kaspersky,Multiple vulnerabilities in Microsoft Exchange Server,Vulnerability,07/09/2019,Multiple vulnerabilities in Microsoft Exchange Server
Kaspersky,Multiple vulnerabilities in Mozilla Thunderbird,Vulnerability,07/09/2019,Multiple vulnerabilities in Mozilla Thunderbird
Kaspersky,Incorrect parameters parsing vulnerability in Mozilla Firefox,Vulnerability,06/20/2019,Incorrect parameters parsing vulnerability in Mozilla Firefox
Kaspersky,Incorrect parameters parsing vulnerability in Mozilla Firefox ESR,Vulnerability,06/20/2019,Incorrect parameters parsing vulnerability in Mozilla Firefox ESR
Kaspersky,Buffer overflow vulnerability in PostgreSQL,Vulnerability,06/20/2019,Buffer overflow vulnerability in PostgreSQL
Kaspersky,Type confusion vulnerability in Mozilla Firefox,Vulnerability,06/18/2019,Type confusion vulnerability in Mozilla Firefox
Kaspersky,Type confusion vulnerability in Mozilla Firefox ESR,Vulnerability,06/18/2019,Type confusion vulnerability in Mozilla Firefox ESR
Kaspersky,ACE vulnerabilities in Google Chrome,Vulnerability,06/13/2019,ACE vulnerabilities in Google Chrome
Kaspersky,Multiple vulnerabilities in VLC media player,Vulnerability,06/13/2019,Multiple vulnerabilities in VLC media player
Kaspersky,Bypass security restrictions vulnerability in Microsoft Exchange Server,Vulnerability,06/11/2019,Bypass security restrictions vulnerability in Microsoft Exchange Server
Kaspersky,Multiple vulnerabilities in Microsoft Windows,Vulnerability,06/11/2019,Multiple vulnerabilities in Microsoft Windows
Kaspersky,ACE vulnerabilities in Adobe Flash Player,Vulnerability,06/11/2019,ACE vulnerabilities in Adobe Flash Player
Kaspersky,Obsolete Adobe Flash Player for Windows,Vulnerability,06/11/2019,Obsolete Adobe Flash Player for Windows
Kaspersky,OSI vulnerability in Mozilla Firefox,Vulnerability,06/11/2019,OSI vulnerability in Mozilla Firefox
Kaspersky,Multiple vulnerabilities in Microsoft Browsers,Vulnerability,06/11/2019,Multiple vulnerabilities in Microsoft Browsers
Kaspersky,Multiple vulnerabilities in Microsoft Developer Tools,Vulnerability,06/11/2019,Multiple vulnerabilities in Microsoft Developer Tools
Kaspersky,Multiple vulnerabilities in iTunes,Vulnerability,05/28/2019,Multiple vulnerabilities in iTunes
Kaspersky,Multiple vulnerabilities in iCloud,Vulnerability,05/28/2019,Multiple vulnerabilities in iCloud
