Src,Name,Type,Date,Desc
Symantec,SONAR.Danabot!g3,Threat,"May 14, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051407-3751-99&om_rssid=sr-latestthreats30days
Symantec,SONAR.MSOffice!g33,Threat,"May 14, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051407-3646-99&om_rssid=sr-latestthreats30days
Symantec,SONAR.Danabot!g2,Threat,"May 14, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051407-3715-99&om_rssid=sr-latestthreats30days
Symantec,ISB.Downloader!gen226,Threat,"Apr 29, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051415-3454-99&om_rssid=sr-latestthreats30days
Symantec,Ransom.Robbinhood,Threat,"May 14, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051610-1846-99&om_rssid=sr-latestthreats30days
Symantec,Ransom.Ryuk!gen1,Threat,"May 14, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051607-0208-99&om_rssid=sr-latestthreats30days
Symantec,Hacktool.Uacbypass!g1,Threat,"May 13, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051614-3018-99&om_rssid=sr-latestthreats30days
Symantec,Ransom.Ryuk,Threat,"May 13, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051315-1353-99&om_rssid=sr-latestthreats30days
Symantec,W32.Bulehero,Threat,"May 09, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051514-0005-99&om_rssid=sr-latestthreats30days
Symantec,W32.Qakbot!gen20,Threat,"May 07, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-050814-2823-99&om_rssid=sr-latestthreats30days
Symantec,MSH.Backdoor!g1,Threat,"May 08, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-050905-3716-99&om_rssid=sr-latestthreats30days
Symantec,SONAR.PsSyncApp!g1,Threat,"May 07, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-050705-4055-99&om_rssid=sr-latestthreats30days
Symantec,Ransom.Sodinokibi!g1,Threat,"May 08, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051415-2849-99&om_rssid=sr-latestthreats30days
Symantec,Ransom.MegaCortex,Threat,"May 07, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-050714-0552-99&om_rssid=sr-latestthreats30days
Symantec,Ransom.Sodinokibi,Threat,"May 07, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-051415-2126-99&om_rssid=sr-latestthreats30days
Symantec,SONAR.Powershell!g41,Threat,"Apr 30, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-043005-3052-99&om_rssid=sr-latestthreats30days
Symantec,ISB.Downloader!gen167,Threat,"Apr 30, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-043012-1707-99&om_rssid=sr-latestthreats30days
Symantec,Infostealer.Predapa!gm,Threat,"Apr 30, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-050207-3716-99&om_rssid=sr-latestthreats30days
Symantec,ISB.Downloader!gen255,Threat,"Apr 25, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-042907-5427-99&om_rssid=sr-latestthreats30days
Symantec,Bloodhound.Exploit.829,Threat,"Apr 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-042604-2613-99&om_rssid=sr-latestthreats30days
Symantec,ISB.Downloader!gen252,Threat,"Apr 17, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-042208-3214-99&om_rssid=sr-latestthreats30days
Symantec,PUA.Avrising,Risk,"Apr 04, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-041214-1617-99&om_rssid=sr-mixedsecurityrisks
Symantec,Hacktool.ProcHack,Risk,"Apr 03, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-010717-0848-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.FileConvTab,Risk,"Mar 28, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-041615-5940-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.Redpher,Risk,"Mar 26, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-032616-1627-99&om_rssid=sr-mixedsecurityrisks
Symantec,Remacc.Remadmin,Risk,"Mar 13, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-040214-1829-99&om_rssid=sr-mixedsecurityrisks
Symantec,Adware.TMAagent,Risk,"Mar 12, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-031406-4943-99&om_rssid=sr-mixedsecurityrisks
Symantec,Hacktool.Filensfer,Risk,"Mar 05, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-031316-3055-99&om_rssid=sr-mixedsecurityrisks
Symantec,Hacktool.Cryptran,Risk,"Feb 25, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-022715-4032-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.Webisida,Risk,"Jan 25, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2527-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.ProxyWeb,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2627-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.VipIP,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2623-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.RedSurf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2522-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.IpGoldSurf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2400-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.LiteSurf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2311-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.SpeedSurf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2239-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.Autodengi,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2123-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.Rubserf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-2114-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.ProfitTask,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-1958-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.Userator,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-1817-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.RiwSU,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-1746-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.WebSurf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-1659-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.ProstoSurf,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-1629-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.SimpleSurfing,Risk,"Jan 24, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-013004-0732-99&om_rssid=sr-mixedsecurityrisks
Symantec,Miner.Softminer,Risk,"Jan 15, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-011516-3454-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.Superfluss,Risk,"Jan 10, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-011010-3557-99&om_rssid=sr-mixedsecurityrisks
Symantec,Hacktool.ProcHack!g1,Risk,"Jan 07, 2019",http://www.symantec.com/security_response/writeup.jsp?docid=2019-010717-2903-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.MalvinGuard,Risk,"Dec 19, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-122007-0714-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.UltrahealPCSecur,Risk,"Dec 03, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-120603-2224-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.IGSCleaner,Risk,"Nov 27, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-120603-0352-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.SensumRegProClean,Risk,"Oct 11, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-101115-0942-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.DriverChecker,Risk,"Oct 11, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-101107-0327-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.PrivacyControls,Risk,"Oct 10, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-101016-3625-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.WinMendRegCleaner,Risk,"Oct 10, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-101011-2718-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.PerfectPCCleanup,Risk,"Oct 04, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-100507-3447-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.AdvancedPCTweaker,Risk,"Oct 01, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-100113-3445-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.DataOwnerWinRep,Risk,"Oct 01, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-100113-2116-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.RegTweaker,Risk,"Oct 01, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-100112-5630-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.DriverFixer,Risk,"Sep 26, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-092617-0253-99&om_rssid=sr-mixedsecurityrisks
Symantec,PUA.RegistryKit,Risk,"Sep 24, 2018",http://www.symantec.com/security_response/writeup.jsp?docid=2018-092616-1401-99&om_rssid=sr-mixedsecurityrisks
