Src,Name,Type,Date,Desc
TrendMicro,Backdoor.Linux.MIRAI.VWIQT,Threat,"July 09, 2019",IoT malware uses two different encryption routines for its strings and modified the magic number of UPX.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Ransom.MSIL.FREEZING.A,Threat,"June 27, 2019",This ransomware is one of the few ransomware families that is loaded and executed under the legitimate PowerShell executable. It also is one of the few that uses restart session manager to terminate processes that have associated files it tries to encrypt.
TrendMicro,Backdoor.Perl.SHELLBOT.AB,Threat,"June 13, 2019",This backdoor comes bundled with a Monero miner both spread by a botnet. The techniques employed are reminiscent of the Outlaw hacking group that Trend Micro reported in November 2018.
TrendMicro,Worm.Win32.BLASQUI.A,Threat,"June 03, 2019",This malware is part of the newly discovered BLACKSQUID malware family that targets web servers network drives and removable drives using multiple web server exploits and dictionary attacks. This Worm  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Backdoor.Linux.MIRAI.VWIPT,Threat,"May 23, 2019",This new Mirai variant uses a total of 13 different exploits almost all of which have been used in previous Mirai-related attacks. It has backdoor and distributed denial-of-service (DDoS) capabilities.
TrendMicro,Ransom.Win32.DHARMA.THDAAAI,Threat,"May 08, 2019",This Dharma variant uses a new technique: using software installation as a distraction to help hide malicious activities.This Ransomware  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Trojan.Linux.KERBERDS.A,Threat,"May 07, 2019",This malware is responsible for dropping the cryptocurrency miner Coinminer.Linux.
TrendMicro,Backdoor.Win32.CARBANAK.A,Threat,"April 26, 2019",This malware is part of the leaked source code of Carbanak as reported by FireEye in April 2019.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Backdoor.Win64.CARBANAK.A,Threat,"April 26, 2019",This malware is part of the leaked source code of Carbanak as reported by FireEye in April 2019.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Trojan.PS1.PCASTLE.B,Threat,"April 12, 2019",This malware is a PowerShell script responsible for downloading and dropping other files. It is implicated in a malicious cryptocurrency-mining activity that features a malware propagating via various methods.
TrendMicro,Backdoor.Linux.BASHLITE.AMF,Threat,"April 03, 2019",This is an updated Bashlite malware designed to add infected internet-of-things devices to a distributed-denial-of-service (DDoS) botnet.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,AndroidOS_XLoader.HRXD,Threat,"April 02, 2019",This XLoader variant poses as a security app for Android devices and uses a malicious iOS profile to affect iPhone and iPad devices. This Trojan  may be downloaded by other malware/grayware from remote sites.
TrendMicro,Backdoor.Win32.SLUB.A,Threat,"March 07, 2019",This backdoor uses several known websites to receive backdoor commands facilitate communication of the commands and upload files.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Trojan.W97M.KERRDOWN.A,Threat,"March 05, 2019",This malware is a downloader used by the OceanLotus threat actor group. This Trojan  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Ransom.Win32.SHADE.THBBFAI,Threat,"February 27, 2019",This ransomware comes from a high volume spam campaign that aims to deliver this to as many users possible.This Ransomware  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Ransom.Win32.SHADE.THBBGAI,Threat,"February 27, 2019",This ransomware comes from a high volume spam campaign that aims to deliver this to as many users possible.This Ransomware  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Trojan.BAT.BANLOAD.THBAIAI,Threat,"February 19, 2019",This fileless malware connects to specific URLs to download PowerShell codes and execute these.This Trojan  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,TROJAN.SWF.CVE201815982.AC,Threat,"January 23, 2019",This malware is implicated as an exploit for the zero-day vulnerability in Adobe Flash Player known as CVE-2018-15982. This exploit  made its rounds via drive-by downloads.
TrendMicro,Backdoor.Linux.MIRAI.AR,Threat,"December 20, 2018",This backdoor may arrive in the affected system via ThinkPHP Remote Code Execution exploit.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Backdoor.Linux.MIRAI.AS,Threat,"December 20, 2018",This backdoor may spread to other devices by abusing a Remote Code Execution exploit in Huawei routers.This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Trojan.MSIL.BERBOMTHUM.AA,Threat,"December 14, 2018",This malware connects to a specific post from a specific Twitter account. The image in the post hosts code that connects to a command and control server used by this malware to receive commands.
TrendMicro,Trojan.Win32.TILDEB.A,Threat,"December 13, 2018",This malware is part of the Shadow Brokers' leaked tools and exploits. It targets Windows NT 4.
TrendMicro,Coinminer.Linux.MALXMR.UWEIS,Threat,"December 12, 2018",This malicious cryptocurrency miner is dropped by exploiting two vulnerabilities in Elasticsearch. This Coinminer  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Trojan.W97M.POWRUN.AA,Threat,"November 30, 2018",This malware is dropped as a .DLL file.
TrendMicro,AndroidOS_FraudBot.OPS,Threat,"November 27, 2018",<br/>
TrendMicro,TrojanSpy.Win32.TRICKBOT.AL,Threat,"November 21, 2018",This Trojan Spy  arrives as an attachment to email messages spammed by other malware/grayware or malicious users. It arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Worm.Win32.BLADABINDI.AA,Threat,"November 21, 2018",This Worm  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.It drops copies of itself into all the removable drives connected to an affected system.
TrendMicro,BKDR_BINLODR.ZNFJ-A,Threat,"November 20, 2018",This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,COINMINER.WIN32.MALXMR.TIAOODAM,Threat,"November 08, 2018",This Coinminer  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,TSPY_TRICKBOT.THOIBEAI,Threat,"November 01, 2018",This Trojan Spy  steals certain information from the system and/or the user.It connects to certain websites to send and receive information.
TrendMicro,TrojanSpy.Win32.TRICKBOT.AK,Threat,"November 01, 2018",This Trojan Spy  arrives as an attachment to email messages spammed by other malware/grayware or malicious users. It arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Backdoor.Win32.REMCOS.TICOGBZ,Threat,"October 29, 2018",This Backdoor  arrives as an attachment to email messages spammed by other malware/grayware or malicious users. It arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,TROJANSPY.WIN32.GOLROTED.THAOOEAH,Threat,"October 29, 2018",This Trojan Spy  arrives as an attachment to email messages spammed by other malware/grayware or malicious users. It arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
TrendMicro,Backdoor.Linux.SETAG.RPA,Threat,"October 25, 2018",This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.It executes commands from a remote malicious user effectively compromising the affected system.
TrendMicro,Backdoor.Linux.SETAG.RPB,Threat,"October 25, 2018",This Backdoor  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.It executes commands from a remote malicious user effectively compromising the affected system.
TrendMicro,Coinminer.SH.MALXMR.ATNG,Threat,"October 25, 2018",This Coinminer  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.However as of this writing the said sites are inaccessible.
TrendMicro,Coinminer.SH.MALXMR.ATNE,Threat,"October 25, 2018",This Coinminer  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.However as of this writing the said sites are inaccessible.
TrendMicro,Coinminer.Unix.MALXMR.AA,Threat,"September 20, 2018",This Coinminer  arrives on a system as a file dropped by other malware or as a file downloaded unknowingly by users when visiting malicious sites.
